Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
112-1983668-5318623	15-Oct-2021	31-Jan-2022	Approved	DHWg8CRTRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729049338390	Seller	N	N	B07DC6QC5Q	CN6685-SZ-8.5	Reebok Women's Classic Nylon Sneaker, True Grey/Stellar Pink/Solar Gold, 8.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	59.90	1	 	 	 	 	 	 
111-9389442-6197063	10-Jan-2022	31-Jan-2022	Approved	DLWb8YR7RRMA	 	AmazonPrePaidLabel	9.01	USD	UPS	1Z2A05729049332752	Seller	N	N	B09LRH9SHR	MSS-1112030BPHNJJ-SZ-9	HOKA ONE ONE Kaha GTX Mens Shoes Size 9, Color: Black/Phantom	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	253.46	1	 	 	 	 	 	253.46
114-6213791-7805046	02-Nov-2021	31-Jan-2022	Approved	DTW68DRwRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729049324252	Seller	N	N	B09BDHKTDG	MSS-1119394OSAT-SZ-7	HOKA ONE ONE Clifton 8 Womens Shoes Size 7, Color: Outer Space/Atlantis	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	178.90	1	 	 	 	 	 	178.90
112-3104948-0336235	30-Nov-2021	31-Jan-2022	Approved	Ds9Y82RhRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729049318349	Seller	N	N	B09LZVGFLZ	MSS-1099735IPES-SZ-6	HOKA ONE ONE Tivra Womens Shoes Size 6, Color: Italian Plum/Evening Sand	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	121.16	1	 	 	 	 	 	 
111-9191330-4315404	24-Jan-2022	31-Jan-2022	Approved	DK9x83R0RRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729049307173	Seller	N	N	B07SJ62LDS	MSS-FM4893-SZ-S	adidas Originals Kids Unisex Culture Clash Crop Hoodie Black/Multicolor/White Small	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	52.88	1	 	 	 	 	 	 
113-4391565-2434626	21-Jan-2022	31-Jan-2022	Approved	Dk9t8wR2RRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729049290708	Seller	N	N	B09BHGNTDY	MSS-1110535BWHTJJ-SZ-9	HOKA ONE ONE Clifton 7 Wide Womens Shoes Size 9, Color: Black/White	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	206.02	1	 	 	 	 	 	185.62
111-3082396-9748210	13-Jan-2022	31-Jan-2022	Approved	D59m8XRDRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729049289630	Seller	N	N	B09LPMY8C6	MSS-1110535BIBHJJ-SZ-9	HOKA ONE ONE Clifton 7 Womens Shoes Size 9, Color: Black Iris/Blue Haze	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	180.09	1	 	 	 	 	 	95.14
114-5389753-0913822	20-Dec-2021	31-Jan-2022	Approved	D7988qRHRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729049283538	Seller	N	N	B09LRD6THH	MSS-1106481BWHT-SZ-12	HOKA ONE ONE Cavu 3 Mens Shoes Size 12, Color: Black/White	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	139.51	1	 	 	 	 	 	74.56
112-2944507-1469026	26-Jan-2022	31-Jan-2022	Approved	D29Y8LRkRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729049282299	Seller	N	N	B09LPQT8JJ	MSS-1110509LRNC-SZ-11	HOKA ONE ONE Clifton 7 Womens Shoes Size 11, Color: Lunar Rock/Nimbus Cloud	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	179.90	1	 	 	 	 	 	179.90
111-0333071-1279440	13-Jan-2022	31-Jan-2022	Approved	Dr6F8WRKRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729049232584	Seller	N	N	B07D9MHQB2	MSS-D96933-SZ-13.5	adidas Men's Marquee Boost Low, Off White/White/Black, 13.5 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	RefundAtFirstScan	 	 	65.59	1	 	 	 	 	 	65.59
