Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
114-7684236-9504211	04-Apr-2022	12-Apr-2022	Approved	Dp7zBdxNRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729081834006	Seller	N	N	B07PWWGSSD	G28290-SZ-3	adidas unisex baby Icon V Md Sneaker, Ftwr White/ Silver Met Ftwr White, 3 Standard US Width US Toddler	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	42.05	1	 	 	 	 	 	 
114-2804157-4777031	08-Apr-2022	12-Apr-2022	Approved	DZ7BBJxNRRMA	 	AmazonPrePaidLabel	8.25	USD	UPS	1Z2A05729081833785	Seller	N	N	B09LNWSQVT	MSS-1110508WDDS-SZ-12	HOKA ONE ONE Clifton 7 Mens Shoes Size 12, Color: Wild Dove/Dark Shadow	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	184.13	1	 	 	 	 	 	 
114-6281907-7269841	22-Mar-2022	12-Apr-2022	Approved	DQDHBPxhRRMA	 	AmazonPrePaidLabel	6.02	USD	UPS	1Z2A05729081832339	Seller	N	N	B07ZSC1G2G	EG5633-SZ-9.5	adidas Men's EG5633 Baseball Shoe, Core Black/Footwear White/Core Black, 9.5	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	84.41	1	 	 	 	 	 	 
111-4983165-6225833	01-Apr-2022	12-Apr-2022	Approved	DxDxBPxSRRMA	 	AmazonPrePaidLabel	5.07	USD	UPS	1Z2A05729081818926	Seller	N	N	B083JYHN85	MSS-FY2998-SZ-8	adidas Originals Women's Swift Run X Sneaker, Raw White/Core Black/Raw White, 8	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	96.87	1	 	 	 	 	 	 
112-4901114-8702660	26-Mar-2022	12-Apr-2022	Approved	DpDCBqxtRRMA	 	AmazonPrePaidLabel	9.00	USD	UPS	1Z2A05729081816286	Seller	N	N	B07ZSC7DPW	EG7623-SZ-7	adidas Men's EG7623 Baseball Shoe, Black/White/Black, 7	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	53.39	1	 	 	 	 	 	 
114-2247127-3984200	03-Apr-2022	12-Apr-2022	Approved	DQDhBRxtRRMA	 	AmazonPrePaidLabel	8.00	USD	UPS	1Z2A05729081816768	Seller	N	N	B07S7PMSSD	MSS-FV2895-SZ-13	adidas Goletto VII Firm Ground Cleats Football Shoe, core Black/Shock Pink/Shock Pink, 13 US Unisex Little Kid	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	47.59	1	 	 	 	 	 	 
113-9093666-6617067	05-Apr-2022	12-Apr-2022	Approved	DpDdBvxnRRMA	 	AmazonPrePaidLabel	6.02	USD	UPS	1Z2A05729081815116	Seller	N	N	B07PXCQ12D	MSS-G54010-SZ-9	adidas Men's Ultraboost 19 Running Shoe, Grey/Grey/Grey, 9	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	190.69	1	 	 	 	 	 	 
113-0579154-3349043	30-Mar-2022	12-Apr-2022	Approved	D2DJBnxJRRMA	 	AmazonPrePaidLabel	5.63	USD	UPS	1Z2A05729081810059	Seller	N	N	B084Z6LB7H	MSS-EH3477-SZ-18	adidas Adizero X Anniversary Mens Football Cleats Ef7919 Size 18	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	64.57	1	 	 	 	 	 	 
113-2227040-9831422	04-Apr-2022	12-Apr-2022	Approved	D8DNBmxMRRMA	 	AmazonPrePaidLabel	6.02	USD	UPS	1Z2A05729081811585	Seller	N	N	B07ZSBMQB6	EG6488-SZ-9.5	adidas Men's EG6488 Baseball Shoe, Black/White/Silver, 9.5	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	80.44	1	 	 	 	 	 	 
113-1348995-0565802	04-Apr-2022	12-Apr-2022	Approved	DpDXBZxMRRMA	 	AmazonPrePaidLabel	8.64	USD	UPS	1Z2A05729081811076	Customer	N	N	B07L1VW52L	F97423-SZ-10.5	adidas Freak Carbon Mid Black/Night Football Shoes 10.5	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	65.26	1	 	 	 	 	 	 
111-5593282-9966638	05-Apr-2022	12-Apr-2022	Approved	DHDbBcxQRRMA	 	AmazonPrePaidLabel	8.64	USD	UPS	1Z2A05729081806724	Seller	N	N	B07L1VW52L	MSS-F97423-SZ-10.5	adidas Freak Carbon Mid Black/Night Football Shoes 10.5	1	CR-SWITCHEROO	Y	C-Returns	StandardRefund	 	 	86.53	1	 	 	 	 	 	 
111-0781736-4031454	04-Apr-2022	12-Apr-2022	Approved	DkD7B1x2RRMA	 	AmazonPrePaidLabel	8.25	USD	UPS	1Z2A05729081802639	Seller	N	N	B07S8NMK3C	G27670-SZ-12	adidas Men's Afterburner 6 Grail MD Cleats Baseball Shoe, core Black/FTWR White/Collegiate Royal, 12 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	92.56	1	 	 	 	 	 	 
114-4567930-3669029	06-Apr-2022	12-Apr-2022	Approved	DQDLB5xDRRMA	 	AmazonPrePaidLabel	6.02	USD	UPS	1Z2A05729081800935	Seller	N	N	B07XYHDCXD	MSS-EF0811-SZ-9.5	adidas Solar Blaze M Mens Shoes Size 9.5, Color: Collegiate Navy/Grey One/Solar Orang	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	93.23	1	 	 	 	 	 	 
113-7298329-9543408	08-Apr-2022	12-Apr-2022	Approved	DjD1BnxFRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540009353635	Seller	N	N	B07ZDVCTVN	MSS-FX8777-SZ-5	adidas Originals unisex-child NMD_R1 Sneaker, Black/Black/Grey, 5	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	115.43	1	 	 	 	 	 	 
