Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
114-3489202-5119468	16-Mar-2022	21-Mar-2022	Approved	DhDFkqxfRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729071255919	Seller	N	N	B013L0MGXE	G558Y4701-SZ-5	ASICS Women's Freak 2 Cross-Country Running Shoe, Powder Blue/White/Navy, 5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	46.65	1	 	 	 	 	 	 
113-4034613-9740212	15-Mar-2022	21-Mar-2022	Approved	DqDQkXxVRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540003201949	Seller	N	N	B00KOH5WYI	G454Y3034-SZ-8	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,8 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	144.48	2	 	 	 	 	 	 
113-6457331-8861818	10-Mar-2022	21-Mar-2022	Approved	DW8bkWxZRRMA	 	AmazonPrePaidLabel	8.08	USD	UPS	1Z2A05729071214258	Seller	N	N	B07W8VY7CV	1QM00014241-SZ-9.5	Fila Midland Brown/Orange 9.5 D (M)	1	DID_NOT_LIKE_COLOR	Y	C-Returns	StandardRefund	 	 	53.79	1	 	 	 	 	 	 
114-0788211-3989041	13-Mar-2022	21-Mar-2022	Approved	Dhg9ksxKRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729071165203	Seller	N	N	B004DCBCYY	P121Y9093-SZ-11	ASICS Men's GEL-Provost Low Sport Style Sneaker,Black/Silver/White,11 M US	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	83.81	1	 	 	 	 	 	 
113-2682611-6644261	14-Mar-2022	21-Mar-2022	Approved	DFghkcxdRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540003158618	Seller	N	N	B00KOH5V0I	G454Y3034-SZ-7	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,7 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	70.45	1	 	 	 	 	 	 
111-0182192-7732222	28-Feb-2022	21-Mar-2022	Approved	D4g5kZxcRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729071147607	Seller	N	N	B00D3RFAI4	G454Y4435-SZ-9.5	ASICS Women's Hyper LD 5 Track Shoe,Enamel Blue/Hot Pink/Sharp Green,9.5 M US	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	48.81	1	 	 	 	 	 	 
113-8649050-1502610	26-Feb-2022	21-Mar-2022	Approved	D4MXkbxzRRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729071063895	Seller	N	N	B00L8C3PDS	G551Y2901-SZ-9	ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe, Orange/White/Dark Purple, 9 M US	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	 	 	97.88	2	 	 	 	 	 	 
114-1257571-7101801	09-Mar-2022	20-Mar-2022	Approved	Dh9kk6xpRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729070798031	Seller	N	N	B004DCBCYY	P121Y9093-SZ-11	ASICS Men's GEL-Provost Low Sport Style Sneaker,Black/Silver/White,11 M US	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	64.40	1	 	 	 	 	 	 
112-7072129-6275427	07-Mar-2022	20-Mar-2022	Approved	Dq9sk1xJRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729070786777	Seller	N	N	B0882V7V1D	JENSENGAUCHO-SZ-11	IZOD Jensen Brown Engineered Leather Mens Casual Shoes with Comfortable Memory Foam, Laces, Dark Taupe, 11 M US	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	42.79	1	 	 	 	 	 	 
112-1083417-9514660	03-Mar-2022	20-Mar-2022	Approved	DQ9Lk9xHRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540002933193	Seller	N	N	B00KOH5WYI	G454Y3034-SZ-8	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,8 M US	1	AMZ-PG-APP-STYLE	Y	C-Returns	RefundAtFirstScan	 	 	56.06	1	 	 	 	 	 	56.06
114-4348094-2936208	09-Mar-2022	20-Mar-2022	Approved	DWhQk2x2RRMA	 	AmazonPrePaidLabel	5.52	USD	UPS	1Z2A05729070676743	Seller	N	N	B00KOH5RUM	G454Y3034-SZ-10	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,10 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	56.99	1	 	 	 	 	 	 
112-8675307-9130627	02-Mar-2022	20-Mar-2022	Approved	D2HhkXxzRRMA	 	AmazonPrePaidLabel	5.90	USD	UPS	1Z2A05729070526119	Seller	N	N	B07V1FH9LX	1QM00014241-SZ-10	Fila Midland Brown/Orange 10 D (M)	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	 	 	54.02	1	 	 	 	 	 	 
114-6943704-3297011	13-Mar-2022	19-Mar-2022	Approved	DtYrkNxpRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540002754729	Seller	N	N	B00KOH5V0I	G454Y3034-SZ-7	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,7 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	103.56	2	 	 	 	 	 	51.47
114-6943704-3297011	13-Mar-2022	19-Mar-2022	Approved	DtYrkNxpRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540002754729	Seller	N	N	B00KOLW7XI	G454Y3034-SZ-7.5	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,7.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	103.56	2	 	 	 	 	 	52.09
112-4781140-5385054	17-Mar-2022	19-Mar-2022	Approved	DWChkqxWRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540002729550	Seller	N	N	B00KOH5X1A	G454Y3034-SZ-9	ASICS Women's Hyper LD 5 Track And Field Shoe,Mango/Rose/Mint,9 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	81.38	1	 	 	 	 	 	 
