Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Merchant RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-Z Claim	Is prime	ASIN	Merchant SKU	Item Name	Return quantity	Return Reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim id	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount
111-4536099-1680204	21-Dec-2021	31-Dec-2021	Approved	DWl004R7RRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729029832759	Seller	N	N	B09JY3F1Y6	SKBD-547245C-SZ-7.5	Converse Chuck Taylor Gladiator Hi Womens Shoes Size 7.5, Color: Blue	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	55.01	1	 	 	 	 	 	 
114-9380895-6871439	03-Dec-2021	31-Dec-2021	Approved	DjG908RJRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729029550376	Seller	N	N	B003Z4KSAU	SKBD-1006980-SZ-12	KEEN Utility Men's PTC Oxford Low Height Non Slip Food Service Chef Shoe, Black/Black, 12 Medium US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	81.62	1	 	 	 	 	 	81.62
112-9639943-5779426	22-Dec-2021	30-Dec-2021	Approved	DfxK0jRbRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540067142004	Seller	N	N	B07D9CS6WH	SKBD-BB9440-SZ-8.5	adidas Men's Nemeziz 18.4 FxG, Solar Yellow/Football Blue/Active red, 8.5 M US	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	53.23	1	 	 	 	 	 	 
113-3390425-2869852	21-Dec-2021	30-Dec-2021	Approved	DfRl02RqRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729029290317	Seller	N	N	B0778YCXPS	SKBD-DB2003-SZ-7.5	adidas Predator 18.3 Fg Soccer Shoe (mens) Solar Yellow/Black/Solar Red 7.5	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	78.65	1	 	 	 	 	 	 
112-5940166-9983422	15-Dec-2021	30-Dec-2021	Approved	DQqQ0NRjRRMA	 	AmazonPrePaidLabel	8.34	USD	UPS	1Z2A05729029154974	Seller	N	N	B07ZSBK7KL	SKBD-EG7623-SZ-9.5	adidas Men's EG7623 Baseball Shoe, Black/White/Black, 9.5	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	 	 	73.35	1	 	 	 	 	 	 
112-3627399-2758606	28-Dec-2021	30-Dec-2021	Approved	Djq70cRHRRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540067051351	Seller	N	N	B078HG7JCN	SKBD-742887C-SZ-4	Converse Ct V Ox Carniva Infant/Toddler Shoes Size 4, Color: Pink/Purple	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	 	 	58.52	1	 	 	 	 	 	 
113-7770397-7376255	21-Dec-2021	30-Dec-2021	Approved	D8PJ0tRfRRMA	 	AmazonPrePaidLabel	5.44	USD	UPS	1Z2A05729029107542	Seller	N	N	B07D9MCLYG	SKBD-F34606-SZ-7.5	adidas Women's Ultimafusion Running Shoe, Black/Black/Silver Metallic, 7.5 M US	1	CR-SWITCHEROO	Y	C-Returns	Replacement	 	 	85.09	1	 	 	 	 	 	85.09
113-5926296-2178651	22-Dec-2021	30-Dec-2021	Approved	D7XySmR7RRMA	 	AmazonPrePaidLabel	3.66	USD	USPS	9202090153540066988580	Seller	N	N	B087X9PFP1	SKBD-G27520-SZ-10.5	adidas Originals Marathon Tech Mens Shoes Size 10.5, Color: Core Brown/Core Black	1	DID_NOT_LIKE_COLOR	Y	C-Returns	RefundAtFirstScan	 	 	63.49	1	 	 	 	 	 	63.49
111-7585181-6889056	24-Dec-2021	30-Dec-2021	Approved	DFvlSQRPRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729028942356	Seller	N	N	B07TGDZYW5	SKBD-F34391-SZ-8.5	Adidas Mens Nemeziz 19.3 Fg Soccer Shoes Blue/White/Black 8.5	1	CR-SWITCHEROO	Y	C-Returns	RefundAtFirstScan	 	 	75.67	1	 	 	 	 	 	75.67
112-1369409-6113023	22-Dec-2021	30-Dec-2021	Approved	DvvKSdRPRRMA	 	AmazonPrePaidLabel	5.81	USD	UPS	1Z2A05729028941839	Seller	N	N	B08HWD8NT7	SKBD-F97425-SZ-7	adidas Freak Carbon Mid Mens Shoes Size 7, Color: Black/Gold	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	RefundAtFirstScan	 	 	151.50	2	 	 	 	 	 	75.75
